net,length_um
_00191_,180.92
_09009_,180.76
_22525_,180.66
_17982_,180.6
_21554_,180.56
delay_line\[32\]\[10\],180.43
_05101_,180.24
_06477_,180.14
net870,179.905
_23007_,179.88
_01838_,179.86
_18080_,179.54
delay_line\[34\]\[14\],179.34
_14976_,179.24
_06482_,179.18
net80,179.14
_06287_,179.04
_23536_,179
_23106_,178.89
_02008_,178.66
_08965_,178.55
_03206_,178.545
_04734_,178.495
net872,178.28
_00326_,178.11
delay_line\[32\]\[8\],178.1
delay_line\[20\]\[9\],178.08
_01788_,178.06
_10503_,177.98
_12554_,177.94
_22392_,177.92
_18242_,177.9
delay_line\[23\]\[0\],177.76
_11466_,177.74
net655,177.665
_04899_,177.58
net141,177.42
_22122_,177.29
_13806_,177.18
_10473_,177.12
_04005_,177.115
_18297_,176.92
_02019_,176.9
_15086_,176.9
net412,176.88
_02310_,176.84
_03866_,176.72
_00315_,176.63
_11322_,176.44
net409,176.285
_13193_,175.98
_21675_,175.91
_18984_,175.84
delay_line\[13\]\[9\],175.84
net1062,175.825
net63,175.77
_17905_,175.52
_23769_,175.43
_06843_,175.33
_19116_,175.28
net765,174.98
delay_line\[31\]\[13\],174.74
_06489_,174.7
_07462_,174.62
_21869_,174.48
_02002_,174.37
_22535_,174.36
delay_line\[23\]\[3\],174.22
_19246_,174.215
_13183_,173.975
_20186_,173.76
_18082_,173.44
_02513_,173.26
_20286_,173.2
net959,173.185
_02015_,173.095
_13552_,172.96
_19882_,172.92
_06744_,172.84
_03249_,172.76
_15479_,172.57
_21555_,172.33
_12381_,172.26
_04797_,172.25
_08639_,172.2
net377,172.14
_01549_,171.95
net815,171.505
_11191_,171.4
_01747_,171.29
_25376_,171.16
_12746_,171.02
net1014,170.945
_15487_,170.72
delay_line\[0\]\[9\],170.58
_02128_,170.14
_06887_,169.995
_02832_,169.56
delay_line\[9\]\[1\],169.46
_01793_,169.44
_16391_,169.385
_05099_,169.335
_06083_,169.26
_06077_,169.11
delay_line\[3\]\[5\],169.11
